Player,Pos,Team,Num,Height,Weight,DOB
"Barnes, Derrick",LB,DET,55,"6'0""",240 lbs,5/29/99
"Barnes, Krys",LB,ARI,51,"6'2""",229 lbs,4/2/98
"Barnes, Zaire",LB,NYJ,53,"6'1""",232 lbs,9/3/99
"Barnett, Derek",DE,PHI,96,"6'3""",259 lbs,6/25/96
"Barno, Amare",LB,CAR,90,"6'6""",245 lbs,4/26/99
"Barrett, Shaquil",LB,TB,7,"6'2""",250 lbs,11/17/92
"Bartch, Ben",OL,JAC,78,"6'6""",315 lbs,7/22/98
"Barton, Cody",LB,WAS,57,"6'2""",237 lbs,11/13/96
"Basham, Boogie",DE,NYG,45,"6'3""",274 lbs,12/16/97
"Bass, T.J.",G,DAL,66,"6'4""",325 lbs,3/31/99
"Bass, Tyler",K,BUF,2,"5'10""",183 lbs,2/14/97
"Bassey, Essang",CB,DEN,21,"5'10""",190 lbs,8/12/98
"Bateman, Rashod",WR,BAL,7,"6'1""",197 lbs,11/29/99
"Bates, John",TE,WAS,87,"6'6""",259 lbs,11/6/97
"Bates, Ryan",G,BUF,71,"6'4""",302 lbs,2/14/97
"Bates III, Jessie",S,ATL,3,"6'1""",200 lbs,2/26/97
"Battle, Jordan",S,CIN,27,"6'1""",210 lbs,12/14/00
"Baun, Zack",LB,NO,53,"6'3""",225 lbs,12/30/96
"Bawden, Nick",FB,NYJ,48,"6'2""",245 lbs,6/22/96
"Beachum, Kelvin",OL,ARI,68,"6'3""",308 lbs,6/8/89
"Beal Jr., Robert",DL,SF,55,"6'4""",250 lbs,8/18/99
"Beathard, C.J.",QB,JAC,3,"6'2""",215 lbs,11/16/93
"Beck, Andrew",FB,HOU,47,"6'3""",255 lbs,5/15/96
"Beckham Jr., Odell",WR,BAL,3,"5'11""",200 lbs,11/5/92
"Becton, Mekhi",OT,NYJ,77,"6'7""",363 lbs,4/18/99
"Bell, Blake",TE,KC,81,"6'6""",252 lbs,8/7/91
"Bell, D'Anthony",S,CLE,37,"6'1""",211 lbs,10/17/96
"Bell, David",WR,CLE,18,"6'1""",212 lbs,12/14/00
"Bell, Markquese",S,DAL,14,"6'3""",205 lbs,1/6/99
"Bell, Ronnie",WR,SF,10,"6'0""",190 lbs,1/28/00
"Bell, Vonn",S,CAR,24,"5'11""",205 lbs,12/12/94
"Bellinger, Daniel",TE,NYG,82,"6'5""",253 lbs,9/22/00
"Bellore, Nick",LB,SEA,44,"6'1""",250 lbs,5/12/89
"Belton, Dane",S,NYG,24,"6'1""",205 lbs,12/7/00
"Benford, Christian",CB,BUF,47,"6'1""",205 lbs,9/21/00
"Benjamin, Eno",RB,NO,26,"5'9""",207 lbs,4/13/99
"Bennett, Jakorian",CB,LV,0,"5'11""",195 lbs,8/23/00
"Bennett, Stetson",QB,LAR,13,"5'11""",190 lbs,10/28/97
"Bentley, Ja'Whaun",LB,NE,8,"6'2""",250 lbs,8/24/96
"Benton, Keeanu",DL,PIT,95,"6'4""",309 lbs,7/17/01
"Bergeron, Matthew",OL,ATL,65,"6'5""",323 lbs,2/26/00
"Bernard, Terrel",LB,BUF,43,"6'1""",224 lbs,5/7/99
"Bernard-Converse, Jarrick",S,NYJ,29,"6'1""",197 lbs,4/29/00
"Berrios, Braxton",WR,MIA,0,"5'9""",185 lbs,10/6/95
"Bethel, Justin",CB,MIA,20,"6'0""",195 lbs,6/17/90
"Biadasz, Tyler",C,DAL,63,"6'3""",316 lbs,11/20/97
"Bigsby, Tank",RB,JAC,4,"6'0""",213 lbs,8/30/01
"Billings, Andrew",DL,CHI,97,"6'1""",311 lbs,3/6/95
"Bitonio, Joel",G,CLE,75,"6'4""",320 lbs,10/11/91
"Blackmon, Julian",S,IND,32,"6'0""",202 lbs,8/24/98
"Blackmon, Mekhi",CB,MIN,5,"5'11""",178 lbs,3/18/99
"Blackshear, Raheem",RB,CAR,3,"5'9""",190 lbs,6/5/98
"Blackson, Angelo",DT,JAC,90,"6'4""",305 lbs,11/14/92
"Blackwell, Josh",DB,CHI,39,"5'11""",180 lbs,4/5/99
"Bland, DaRon",CB,DAL,26,"6'0""",197 lbs,7/12/99
"Blankenship, Reed",S,PHI,32,"6'1""",203 lbs,3/2/99
"Blasingame, Khari",FB,CHI,35,"6'0""",233 lbs,7/1/96
"Board, Chris",LB,NE,45,"6'2""",244 lbs,7/23/95
"Bobenmoyer, Jacob",LS,LV,50,"6'2""",235 lbs,5/28/97
"Bobo, Jake",WR,SEA,19,"6'4""",207 lbs,8/4/98
"Bojorquez, Corey",P,CLE,13,"6'0""",217 lbs,9/13/96
"Bolden, Brandon",RB,LV,34,"5'11""",220 lbs,1/26/90
"Bolden, Isaiah",CB,NE,7,"6'2""",205 lbs,12/16/99
"Bolles, Garett",OT,DEN,72,"6'5""",300 lbs,5/27/92
"Bolton, Curtis",LB,LV,36,"6'0""",228 lbs,12/18/95
"Bolton, Nick",LB,KC,32,"5'11""",237 lbs,3/10/00
"Bonitto, Nik",LB,DEN,42,"6'3""",240 lbs,9/26/99
"Boone, Mike",RB,HOU,22,"5'10""",206 lbs,6/30/95
"Booth Jr., Andrew",CB,MIN,23,"6'0""",194 lbs,9/28/00
"Borom, Larry",OL,CHI,75,"6'5""",333 lbs,3/30/99
"Bosa, Joey",LB,LAC,97,"6'5""",280 lbs,7/11/95
"Bosa, Nick",DL,SF,97,"6'4""",266 lbs,10/23/97
"Boswell, Chris",K,PIT,9,"6'2""",185 lbs,3/16/91
"Bourne, Kendrick",WR,NE,84,"6'1""",205 lbs,8/4/95
"Boutte, Kayshon",WR,NE,80,"6'0""",197 lbs,5/7/02
"Bowden Jr., Lynn",WR,NO,84,"6'1""",204 lbs,10/14/97
"Bowser, Tyus",LB,BAL,54,"6'3""",250 lbs,5/23/95
"Boyd, Kris",CB,ARI,29,"5'11""",195 lbs,9/12/96
"Boyd, Tyler",WR,CIN,83,"6'2""",203 lbs,11/15/94
"Boykin, Miles",WR,PIT,13,"6'4""",220 lbs,10/12/96
"Bozeman, Bradley",C,CAR,56,"6'5""",325 lbs,11/24/94
"Bradberry, James",CB,PHI,24,"6'1""",210 lbs,8/4/93
"Bradbury, Garrett",C,MIN,56,"6'3""",300 lbs,6/20/95
"Bradford, Anthony",G,SEA,70,"6'5""",332 lbs,4/28/01
"Bradley, Shaun",LB,PHI,54,"6'1""",240 lbs,4/8/97
"Branch, Brian",DB,DET,32,"6'0""",203 lbs,10/22/01
"Brandel, Blake",OT,MIN,64,"6'7""",315 lbs,1/23/97
"Braswell, Christian",CB,JAC,21,"5'10""",181 lbs,9/27/99
"Bredeson, Ben",G,NYG,68,"6'5""",315 lbs,2/20/98
"Breida, Matt",RB,NYG,31,"5'10""",190 lbs,2/28/95
"Brendel, Jake",OL,SF,64,"6'4""",299 lbs,9/10/92
"Brents, JuJu",CB,IND,29,"6'3""",198 lbs,1/18/00
"Bresee, Bryan",DT,NO,90,"6'5""",305 lbs,10/6/01
"Brewer, Aaron",G,TEN,55,"6'1""",274 lbs,10/28/97
"Brewer, Aaron",LS,ARI,46,"6'5""",232 lbs,7/5/90
"Bridgewater, Teddy",QB,DET,10,"6'2""",212 lbs,11/10/92
"Brightwell, Gary",RB,NYG,23,"6'1""",218 lbs,2/28/98
"Brisker, Jaquan",DB,CHI,9,"6'1""",200 lbs,4/20/99
"Brissett, Jacoby",QB,WAS,12,"6'4""",235 lbs,12/11/92
"Britt, K.J.",LB,TB,52,"6'0""",235 lbs,6/4/99
"Broeker, Nick",G,HOU,64,"6'4""",305 lbs,10/7/00
"Brooks, Christopher",RB,MIA,35,"6'1""",223 lbs,1/11/00
"Brooks, Curtis",DT,WAS,68,"6'2""",287 lbs,2/6/98
"Brooks, Jalen",WR,DAL,83,"6'2""",205 lbs,5/7/00
"Brooks, Jordyn",LB,SEA,56,"6'0""",240 lbs,10/21/97
"Brooks, Karl",DL,GB,94,"6'3""",296 lbs,5/8/00
"Brown, A.J.",WR,PHI,11,"6'1""",226 lbs,6/30/97
"Brown, Ben",C,SEA,76,"6'5""",312 lbs,5/19/98
"Brown, Brittain",RB,LV,38,"6'1""",205 lbs,10/10/97
"Brown, Cam",LB,NYG,47,"6'5""",233 lbs,4/1/98
"Brown, Chase",HB,CIN,30,"5'10""",211 lbs,3/21/00
"Brown, Derrick",DT,CAR,95,"6'5""",320 lbs,4/15/98
"Brown, Duane",OT,NYJ,76,"6'4""",329 lbs,8/30/85
"Brown, Dyami",WR,WAS,2,"6'0""",195 lbs,11/1/99
"Brown, Evan",C,SEA,63,"6'2""",320 lbs,9/16/96
"Brown, Ji'ayir",S,SF,27,"5'11""",202 lbs,1/25/00
"Brown, Marquise",WR,ARI,2,"5'9""",180 lbs,6/4/97
"Brown, Mike",S,TEN,44,"6'1""",222 lbs,4/7/99
"Brown, Montaric",CB,JAC,30,"6'0""",190 lbs,8/24/99
"Brown, Noah",WR,HOU,85,"6'2""",215 lbs,1/6/96
"Brown, Pharaoh",TE,NE,86,"6'5""",246 lbs,5/4/94
"Brown, Shakel",DT,TEN,91,"6'3""",295 lbs,12/4/98
"Brown, Spencer",OT,BUF,79,"6'8""",311 lbs,2/28/98
"Brown, Sydney",S,PHI,21,"5'10""",211 lbs,3/21/00
"Brown, Tony",CB,IND,38,"6'0""",199 lbs,7/13/95
"Brown, Tre",CB,SEA,22,"5'10""",185 lbs,9/24/97
"Brown, Trent",OL,NE,77,"6'8""",370 lbs,4/13/93
"Brown III, Bobby",NT,LAR,95,"6'4""",324 lbs,8/7/00
"Brown IV, Earnest",DE,LAR,90,"6'5""",270 lbs,1/8/99
"Brown Jr., Orlando",OT,CIN,75,"6'8""",345 lbs,5/2/96
"Browning, Baron",LB,DEN,56,"6'3""",240 lbs,2/19/99
"Browning, Jake",QB,CIN,6,"6'2""",209 lbs,4/11/96
"Brownlee, Jason",WR,NYJ,16,"6'2""",198 lbs,1/30/99
"Brunskill, Daniel",OL,TEN,60,"6'5""",300 lbs,1/27/94
"Bryan, Taven",DT,IND,96,"6'4""",291 lbs,3/11/96
"Bryant, Coby",CB,SEA,8,"6'1""",193 lbs,3/29/99
"Bryant, Harrison",TE,CLE,88,"6'5""",230 lbs,4/23/98
"Bryant, Myles",DB,NE,27,"5'9""",192 lbs,1/2/98
"Buckner, DeForest",DT,IND,99,"6'7""",295 lbs,3/17/94
"Buggs, Isaiah",DL,DET,96,"6'3""",335 lbs,8/24/96
"Bullard, Jonathan",DL,MIN,90,"6'3""",290 lbs,10/22/93
"Burford, Spencer",OL,SF,74,"6'4""",300 lbs,7/19/00
"Burks, Oren",LB,SF,48,"6'3""",233 lbs,3/21/95
"Burks, Treylon",WR,TEN,16,"6'2""",225 lbs,3/22/00
"Burney, Amari",LB,LV,56,"6'2""",228 lbs,6/19/00
"Burns, Brian",LB,CAR,0,"6'5""",250 lbs,4/23/98
"Burrow, Joe",QB,CIN,9,"6'4""",215 lbs,12/10/96
"Burton, Michael",FB,DEN,20,"6'0""",247 lbs,2/1/92
"Bush, Devin",LB,SEA,0,"5'11""",234 lbs,7/18/98
"Bushman, Matt",TE,KC,89,"6'5""",245 lbs,11/3/95
"Butker, Harrison",K,KC,7,"6'4""",199 lbs,7/14/95
"Butler, Adam",DT,LV,69,"6'5""",300 lbs,4/12/94
"Butler, Darien",LB,LV,58,"6'0""",225 lbs,3/2/00
"Butler, Percy",S,WAS,35,"6'0""",191 lbs,5/29/00
"Byard, Kevin",S,TEN,31,"5'11""",212 lbs,8/17/93
"Bynum, Camryn",S,MIN,24,"6'0""",200 lbs,7/19/98
"Cabinda, Jason",FB,DET,45,"6'1""",235 lbs,3/17/96
"Cager, Lawrence",TE,NYG,83,"6'5""",220 lbs,8/20/97
"Calcaterra, Grant",TE,PHI,81,"6'4""",240 lbs,12/4/98
"Caliendo, Mike",OL,KC,66,"6'4""",301 lbs,10/21/97
"Camarda, Jake",P,TB,5,"6'1""",193 lbs,4/20/99
"Campbell, Calais",DL,ATL,93,"6'8""",282 lbs,9/1/86
"Campbell, De'Vondre",LB,GB,59,"6'4""",232 lbs,7/3/93
"Campbell, Elijah",DB,MIA,22,"5'11""",200 lbs,8/24/95
"Campbell, Jack",LB,DET,46,"6'5""",243 lbs,8/22/00
"Campbell, Parris",WR,NYG,0,"6'0""",208 lbs,7/16/97
"Campbell, Tyson",CB,JAC,32,"6'1""",195 lbs,3/17/00
"Cappa, Alex",G,CIN,65,"6'6""",310 lbs,1/27/95
"Cardona, Joe",LS,NE,49,"6'3""",245 lbs,4/16/92
"Carlson, Anders",K,GB,17,"6'5""",219 lbs,6/16/98
"Carlson, Daniel",K,LV,2,"6'5""",215 lbs,1/23/95
"Carman, Jackson",OT,CIN,79,"6'5""",322 lbs,1/22/00
"Carr, Derek",QB,NO,4,"6'3""",215 lbs,3/28/91
"Carter, DeAndre",WR,LV,3,"5'8""",190 lbs,4/10/93
"Carter, Jalen",DT,PHI,98,"6'3""",314 lbs,4/4/01
"Carter, Ja'Tyre",OL,CHI,69,"6'3""",311 lbs,1/15/99
"Carter, Lorenzo",LB,ATL,0,"6'5""",252 lbs,12/10/95
"Carter, Michael",RB,NYJ,32,"5'8""",201 lbs,5/7/99
"Carter, Zach",DT,CIN,95,"6'4""",290 lbs,4/7/99
"Carter II, Andre",LB,MIN,55,"6'6""",256 lbs,6/2/00
"Carter II, Michael",CB,NYJ,30,"5'10""",184 lbs,3/8/99
"Cashman, Blake",LB,HOU,53,"6'1""",237 lbs,5/10/96
"Chaisson, K'Lavon",LB,JAC,45,"6'3""",245 lbs,7/25/99
"Chandler, Ty",RB,MIN,32,"5'11""",204 lbs,5/12/98
"Charbonnet, Zach",RB,SEA,26,"6'1""",214 lbs,1/8/01
"Chark Jr., DJ",WR,CAR,17,"6'3""",200 lbs,9/23/96
"Charles, Irvin",WR,NYJ,19,"6'4""",219 lbs,4/13/97
"Charles, Saahdiq",G,WAS,77,"6'4""",322 lbs,7/26/99
"Chase, Ja'Marr",WR,CIN,1,"6'0""",201 lbs,3/1/00
"Cheeseman, Camaron",LS,WAS,54,"6'4""",237 lbs,4/26/98
"Chenal, Leo",LB,KC,54,"6'3""",250 lbs,10/26/00
"Cherelus, Claudin",LB,CAR,53,"6'2""",230 lbs,2/9/99
"Chestnut, Julius",RB,TEN,36,"5'11""",228 lbs,10/26/00
"Chinn, Jeremy",S,CAR,21,"6'3""",220 lbs,2/26/98
"Christensen, Brady",G,CAR,70,"6'6""",300 lbs,9/27/96
"Chubb, Bradley",LB,MIA,2,"6'4""",268 lbs,6/24/96
"Chubb, Nick",RB,CLE,24,"5'11""",227 lbs,12/27/95
"Cine, Lewis",S,MIN,6,"6'2""",199 lbs,10/5/99
"Cisco, Andre",S,JAC,5,"6'0""",210 lbs,3/23/00
"Clapp, Will",C,LAC,76,"6'5""",311 lbs,12/10/95
"Clark, Chuck",S,NYJ,23,"6'0""",210 lbs,4/19/95
"Clark, Damone",LB,DAL,33,"6'3""",240 lbs,6/28/00
"Clark, Frank",LB,DEN,55,"6'3""",272 lbs,6/14/93
"Clark, Kei'Trel",CB,ARI,13,"5'10""",181 lbs,3/19/01
"Clark, Kenny",DL,GB,97,"6'3""",314 lbs,10/4/95
"Claybrooks, Chris",CB,JAC,6,"5'9""",180 lbs,7/17/97
"Claypool, Chase",WR,CHI,10,"6'4""",238 lbs,7/7/98
"Clemons, Micheal",DL,NYJ,72,"6'5""",270 lbs,8/21/97
"Cleveland, Ben",G,BAL,66,"6'6""",370 lbs,8/25/98
"Cleveland, Ezra",G,MIN,72,"6'6""",312 lbs,5/8/98
"Clifford, Sean",QB,GB,8,"6'2""",218 lbs,7/14/98
"Clowney, Jadeveon",LB,BAL,24,"6'5""",266 lbs,2/14/93
"Cobb, Randall",WR,NYJ,18,"5'10""",192 lbs,8/22/90
"Coburn, Keondre",DT,KC,99,"6'2""",332 lbs,5/23/00
"Cochran, Devin",OT,CIN,76,"6'7""",310 lbs,7/17/98
"Cochrane, Jack",LB,KC,43,"6'3""",236 lbs,2/9/99
"Cole, AJ",P,LV,6,"6'4""",220 lbs,11/27/95
"Cole, Dylan",LB,CHI,55,"6'0""",240 lbs,5/19/94
"Cole, Mason",OL,PIT,61,"6'5""",298 lbs,3/28/96
"Collier, L.J.",DL,ARI,91,"6'2""",291 lbs,9/12/95
"Collins, Maliek",DT,HOU,96,"6'2""",310 lbs,4/8/95
"Collins, Nico",WR,HOU,12,"6'4""",215 lbs,3/19/99
"Collins, Zaven",LB,ARI,25,"6'4""",260 lbs,5/19/99
"Colon, Trystan",OL,ARI,63,"6'3""",313 lbs,3/23/98
"Cominsky, John",DL,DET,79,"6'5""",285 lbs,11/22/95
"Conklin, Jack",OT,CLE,78,"6'6""",308 lbs,8/17/94
"Conklin, Tyler",TE,NYJ,83,"6'3""",254 lbs,7/30/95
"Conner, Chamarri",DB,KC,27,"6'0""",206 lbs,7/11/00
"Conner, James",RB,ARI,6,"6'1""",233 lbs,5/5/95
"Cook, Bryan",S,KC,6,"6'1""",206 lbs,9/7/99
"Cook, Dalvin",RB,NYJ,33,"5'10""",210 lbs,8/10/95
"Cook, Dylan",OT,PIT,60,"6'6""",305 lbs,1/11/98
"Cook, James",RB,BUF,4,"5'11""",190 lbs,9/25/99
"Cooke, Logan",P,JAC,9,"6'5""",230 lbs,7/28/95
"Cooks, Brandin",WR,DAL,3,"5'10""",189 lbs,9/25/93
"Cooks, Elijah",WR,JAC,14,"6'4""",215 lbs,10/13/98
"Cooney, Nolan",P,ARI,16,"6'3""",202 lbs,9/18/96
"Cooper, Amari",WR,CLE,2,"6'1""",211 lbs,6/17/94
"Cooper, Jonathon",LB,DEN,0,"6'4""",257 lbs,1/8/98
"Corbett, Austin",G,CAR,63,"6'4""",305 lbs,9/5/95
"Corral, Matt",QB,NE,-,"6'2""",205 lbs,1/31/99
"Cosmi, Sam",OT,WAS,76,"6'6""",309 lbs,2/16/99
"Cotton Sr., Lester",G,MIA,66,"6'4""",330 lbs,2/20/96
"Coughlin, Carter",LB,NYG,52,"6'3""",236 lbs,7/21/97
"Cousins, Kirk",QB,MIN,8,"6'3""",205 lbs,8/19/88
"Covey, Britain",WR,PHI,18,"5'8""",173 lbs,3/18/97
"Cox, Fletcher",DT,PHI,91,"6'4""",310 lbs,12/13/90
"Cox, Morgan",LS,TEN,46,"6'4""",233 lbs,4/26/86
"Cox Jr., Brenton",LB,GB,57,"6'4""",250 lbs,1/30/00
"Cracraft, River",WR,MIA,85,"6'0""",198 lbs,11/1/94
"Crosby, Maxx",DE,LV,98,"6'5""",255 lbs,8/22/97
"Cross, Charles",OT,SEA,67,"6'5""",311 lbs,11/25/00
"Cross, Nick",S,IND,20,"6'0""",212 lbs,9/10/01
"Crossen, Keion",DB,MIA,27,"5'10""",190 lbs,4/17/96
"Crowder, Jamison",WR,WAS,83,"5'8""",185 lbs,6/17/93
"Cunningham, Zach",LB,PHI,52,"6'3""",238 lbs,12/2/94
"Curhan, Jake",OT,SEA,74,"6'6""",316 lbs,7/9/98
"Curl, Kamren",S,WAS,31,"6'2""",198 lbs,3/31/99
"Curtis, McClendon",G,SEA,-,"6'6""",325 lbs,9/16/99
"Cushenberry III, Lloyd",C,DEN,79,"6'4""",315 lbs,11/22/97
"Daley, Dennis",OL,ARI,71,"6'6""",325 lbs,8/7/96
"Dallas, DeeJay",RB,SEA,31,"5'10""",214 lbs,9/16/98
"Dalman, Drew",OL,ATL,67,"6'3""",300 lbs,10/15/98
"Dalton, Andy",QB,CAR,14,"6'2""",220 lbs,10/29/87
"Daly, Scott",LS,DET,47,"6'1""",245 lbs,2/7/94
"Daniels, Braeden",OL,WAS,79,"6'4""",297 lbs,8/22/00
"Daniels, James",OL,PIT,78,"6'4""",327 lbs,9/13/97
"Danna, Mike",DE,KC,51,"6'2""",257 lbs,12/1/97
"Darby, Ronald",CB,BAL,28,"5'11""",193 lbs,1/2/94
"Darnold, Sam",QB,SF,14,"6'3""",225 lbs,6/5/97
"Darrisaw, Christian",OT,MIN,71,"6'5""",315 lbs,6/2/99
"Davenport, Marcus",LB,MIN,0,"6'6""",265 lbs,9/4/96
"David, Lavonte",LB,TB,54,"6'1""",233 lbs,1/23/90
"Davidson, D.J.",DL,NYG,98,"6'3""",327 lbs,12/16/99
"Davidson, Zach",TE,BUF,84,"6'7""",251 lbs,7/15/98
"Davis, Ashtyn",S,NYJ,21,"6'1""",202 lbs,10/10/96
"Davis, Cody",DB,NE,22,"6'2""",205 lbs,6/6/89
"Davis, Demario",LB,NO,56,"6'2""",248 lbs,1/11/89
"Davis, Derius",WR,LAC,12,"5'8""",165 lbs,9/11/00
"Davis, Gabe",WR,BUF,13,"6'2""",225 lbs,4/1/99
"Davis, Jalen",CB,CIN,35,"5'10""",190 lbs,2/2/96
"Davis, Jamin",LB,WAS,52,"6'3""",234 lbs,12/12/98
"Davis, Jarrad",LB,NYG,57,"6'1""",238 lbs,11/16/94
"Davis, Jordan",DT,PHI,90,"6'6""",336 lbs,1/12/00
