1,2,3,4,5,6,7,8,9,10,11,12
RWR,84,"Bourne, Kendrick U/SF",80,"Boutte, Kayshon 23/6",,,,,,,NE
SWR,7,"Smith-Schuster, JuJu U/KC",81,"Douglas, Demario 23/6",,,,,,,NE
LT,77,"BROWN, TRENT T/LV",76,"Anderson, Calvin U/Den",59,"Lowe, Vederian T/Min",,,,,NE
LG,69,"Strange, Cole 22/1",62,"Sow, Sidy 23/4",,,,,,,NE
C,60,"ANDREWS, DAVID CF15",67,"Andrews, Jake 23/4",,,,,,,NE
RG,71,"Onwenu, Mike 20/6",68,"Mafi, Atonio 23/5",,,,,,,NE
RT,74,"REIFF, RILEY U/Chi",72,"Wheatley Jr., Tyrone T/Cle",,,,,,,NE
TE,85,"Henry, Hunter U/LAC",88,"Gesicki, Mike U/Mia",,,,,,,NE
QB,10,"Jones, Mac 21/1",,"Corral, Matt W/Car",,,,,,,NE
RB,38,"Stevenson, Rhamondre 21/4",15,"Elliott, Ezekiel CC/Dal",,,,,,,NE
LWR,17,"Wilson, Garrett 22/1",19,"Charles, Irvin CF22",,,,,,,NYJ
RWR,10,"Lazard, Allen U/GB",16,"Brownlee, Jason CF23",,,,,,,NYJ
SWR,6,"Hardman Jr., Mecole U/KC",18,"COBB, RANDALL U/GB",82,"Gipson, Xavier CF23",,,,,NYJ
LT,76,"BROWN, DUANE U/Sea",61,"Mitchell, Max 22/4",,,,,,,NYJ
LG,78,"TOMLINSON, LAKEN U/SF",71,"Schweitzer, Wes U/Was",,,,,,,NYJ
C,60,"MCGOVERN, CONNOR U/Den",66,"Tippmann, Joe 23/2",,,,,,,NYJ
RG,75,"Vera-Tucker, Alijah 21/1",,,,,,,,,NYJ
RT,77,"Becton, Mekhi 20/1",54,"TURNER, BILLY U/Den",,,,,,,NYJ
TE,83,"Conklin, Tyler U/Min",87,"UZOMAH, C.J. U/Cin",89,"Ruckert, Jeremy 22/3",,,,,NYJ
QB,8,"RODGERS, AARON T/GB",2,"Wilson, Zach 21/1",,,,,,,NYJ
RB,20,"Hall, Breece 22/2",33,"Cook, Dalvin CC/Min",32,"Carter, Michael 21/4",25,"Abanikanda, Israel 23/5",,,NYJ
FB,48,"Bawden, Nick SF21",,,,,,,,,NYJ
LWR,13,"Gallup, Michael 18/3",83,"Brooks, Jalen 23/7",,,,,,,DAL
RWR,3,"Cooks, Brandin T/Hou",18,"Tolbert, Jalen 22/3",,,,,,,DAL
SWR,88,"Lamb, CeeDee 20/1",9,"Turpin, KaVontae SF22",,,,,,,DAL
LT,77,"SMITH, TYRON 11/1",71,"Edoga, Chuma U/Atl",,,,,,,DAL
LG,73,"Smith, Tyler 22/1",76,"Richards, Asim 23/5",,,,,,,DAL
C,63,"Biadasz, Tyler 20/4",,,,,,,,,DAL
RG,70,"MARTIN, ZACK 14/1",66,"Bass, T.J. CF23",,,,,,,DAL
RT,78,"Steele, Terence CF20",,,,,,,,,DAL
TE,87,"Ferguson, Jake 22/4",86,"Schoonmaker, Luke 23/2",89,"Hendershot, Peyton CF22",,,,,DAL
QB,4,"PRESCOTT, DAK 16/4",10,"Rush, Cooper CF17",15,"Lance, Trey T/SF",,,,,DAL
RB,20,"Pollard, Tony 19/4",23,"Dowdle, Rico CF20",42,"Vaughn, Deuce 23/6",40,"Luepke, Hunter CF23",,,DAL
LWR,18,"Hodgins, Isaiah W/Buf",13,"Hyatt, Jalin 23/3",,,,,,,NYG
RWR,86,"Slayton, Darius 19/5",3,"Shepard, Sterling 16/2",,,,,,,NYG
SWR,00,"Campbell, Parris U/Ind",17,"Robinson, Wan'Dale 22/2",,,,,,,NYG
LT,78,"Thomas, Andrew 20/1",74,"Peart, Matt 20/3",,,,,,,NYG
LG,68,"Bredeson, Ben T/Bal",75,"Ezeudu, Joshua 22/3",,,,,,,NYG
C,61,"Schmitz Jr., John Michael 23/2",66,"Lemieux, Shane 20/5",,,,,,,NYG
RG,64,"GLOWINSKI, MARK U/Ind",60,"McKethan, Marcus 22/5",,,,,,,NYG
RT,73,"Neal, Evan 22/1",,,,,,,,,NYG
TE,12,"WALLER, DARREN T/NYG",82,"Bellinger, Daniel 22/4",83,"Cager, Lawrence SF22",,,,,NYG
QB,8,"Jones, Daniel 19/1",2,"TAYLOR, TYROD U/Hou",,,,,,,NYG
RB,26,"Barkley, Saquon 18/1",31,"Breida, Matt U/Buf",23,"Brightwell, Gary 21/6",20,"Gray, Eric 23/5",,,NYG
LWR,11,"Brown, A.J. T/Ten",,,,,,,,,PHI
RWR,6,"Smith, DeVonta 21/1",,,,,,,,,PHI
SWR,13,"Zaccheaus, Olamide U/Atl",16,"Watkins, Quez 20/6",,,,,,,PHI
LT,68,"Mailata, Jordan 18/7",74,"Johnson, Fred SF22",,,,,,,PHI
LG,69,"Dickerson, Landon 21/2",78,"Opeta, Sua CF19",,,,,,,PHI
C,62,"KELCE, JASON 11/6",,,,,,,,,PHI
RG,51,"Jurgens, Cam 22/2",56,"Steen, Tyler 23/3",,,,,,,PHI
RT,65,"JOHNSON, LANE 13/1",63,"Driscoll, Jack 20/4",,,,,,,PHI
TE,88,"Goedert, Dallas 18/2",89,"Stoll, Jack CF21",81,"Calcaterra, Grant 22/6",85,"Okwuegbunam, Albert T/Den",,,PHI
QB,1,"Hurts, Jalen 20/2",8,"Mariota, Marcus CC/Atl",19,"McKee, Tanner 23/6",,,,,PHI
RB,00,"Swift, D'Andre T/Det",14,"Gainwell, Kenneth 21/5",23,"Penny, Rashaad U/Sea",35,"Scott, Boston P/NO",,,PHI
LWR,17,"McLaurin, Terry 19/3",3,"Pringle, Byron U/Chi",,,,,,,WAS
RWR,1,"Dotson, Jahan 22/1",2,"Brown, Dyami 21/3",,,,,,,WAS
SWR,4,"Samuel, Curtis U/Car",15,"Milne, Dax 21/7",86,"Tinsley, Mitchell CF23",,,,,WAS
LT,72,"LENO JR., CHARLES SF21",78,"LUCAS, CORNELIUS U/Chi",,,,,,,WAS
LG,77,"Charles, Saahdiq 20/4",75,"Paul, Chris 22/7",,,,,,,WAS
C,63,"Gates, Nick U/NYG",69,"LARSEN, TYLER U/Car",,,,,,,WAS
RG,76,"Cosmi, Sam 21/2",53,"Stromberg, Ricky 23/3",,,,,,,WAS
RT,71,"Wylie, Andrew U/KC",73,"Scott, Trent U/Pit",,,,,,,WAS
TE,82,"THOMAS, LOGAN U/Det",87,"Bates, John 21/4",85,"Turner, Cole 22/5",80,"Hodges, Curtis CF22",,,WAS
QB,14,"Howell, Sam 22/5",12,"BRISSETT, JACOBY U/Cle",,,,,,,WAS
RB,8,"Robinson Jr., Brian 22/3",24,"Gibson, Antonio 20/3",23,"Rodriguez Jr., Chris 23/6",,,,,WAS
LWR,3,"BECKHAM JR., ODELL SF23",13,"Duvernay, Devin 20/3",,,,,,,BAL
RWR,7,"Bateman, Rashod 21/1",15,"AGHOLOR, NELSON U/NE",,,,,,,BAL
SWR,4,"Flowers, Zay 23/1",16,"Wallace, Tylan 21/4",,,,,,,BAL
LT,79,"Stanley, Ronnie 16/1",65,"Mekari, Patrick CF19",,,,,,,BAL
LG,71,"Aumavae-Laulu, Malaesala 23/6",76,"Simpson, John SF22",,,,,,,BAL
C,64,"Linderbaum, Tyler 22/1",,,,,,,,,BAL
RG,70,"ZEITLER, KEVIN CC/NYG",66,"Cleveland, Ben 21/3",,,,,,,BAL
RT,78,"MOSES, MORGAN U/NYJ",77,"Faalele, Daniel 22/4",,,,,,,BAL
TE,89,"Andrews, Mark 18/3",80,"Likely, Isaiah 22/4",88,"Kolar, Charlie 22/4",,,,,BAL
QB,8,"Jackson, Lamar 18/1",2,"Huntley, Tyler CF20",17,"JOHNSON, JOSH U/SF",,,,,BAL
RB,27,"Dobbins, J.K. 20/2",35,"Edwards, Gus CF18",43,"Hill, Justice 19/4",34,"Mitchell, Keaton IR-0",,,BAL
FB,42,"Ricard, Patrick CF17",,,,,,,,,BAL
LWR,1,"Chase, Ja'Marr 21/1",80,"Iosivas, Andrei 23/6",,,,,,,CIN
RWR,5,"Higgins, Tee 20/2",16,"Irwin, Trenton SF19",,,,,,,CIN
SWR,83,"Boyd, Tyler 16/2",15,"Jones, Charlie 23/4",,,,,,,CIN
LT,75,"Brown Jr., Orlando U/KC",70,"Smith, D'Ante 21/4",,,,,,,CIN
LG,67,"Volson, Cordell 22/4",74,"Scharping, Max W/Hou",,,,,,,CIN
C,64,"KARRAS, TED U/NE",63,"Hill, Trey 21/6",,,,,,,CIN
RG,65,"Cappa, Alex U/TB",61,"Ford, Cody U/Arz",,,,,,,CIN
RT,73,"Williams, Jonah 19/1",79,"Carman, Jackson 21/2",,,,,,,CIN
TE,81,"Smith Jr., Irv U/Min",89,"Sample, Drew 19/2",84,"Wilcox, Mitchell CF20",,,,,CIN
QB,9,"Burrow, Joe 20/1",6,"Browning, Jake SF21",,,,,,,CIN
RB,28,"Mixon, Joe 17/2",32,"Williams, Trayveon 19/6",30,"Brown, Chase 23/5",25,"Evans, Chris 21/6",,,CIN
LWR,2,"Cooper, Amari T/Dal",89,"Tillman, Cedric 23/3",,,,,,,CLE
RWR,11,"Peoples-Jones, Donovan 20/6",19,"GOODWIN, MARQUISE U/Sea",,,,,,,CLE
SWR,8,"Moore, Elijah T/NYJ",18,"Bell, David 22/3",,,,,,,CLE
LT,71,"Wills Jr., Jedrick 20/1",66,"Hudson III, James 21/4",,,,,,,CLE
LG,75,"BITONIO, JOEL 14/2",56,"Wypler, Luke 23/6",,,,,,,CLE
C,55,"Pocic, Ethan U/Sea",53,"Harris, Nick 20/5",,,,,,,CLE
RG,77,"Teller, Wyatt T/Buf",68,"Dunn, Michael SF20",,,,,,,CLE
RT,78,"Conklin, Jack U/Ten",79,"Jones, Dawand 23/4",,,,,,,CLE
TE,85,"Njoku, David 17/1",84,"AKINS, JORDAN U/Hou",88,"Bryant, Harrison 20/4",,,,,CLE
QB,4,"Watson, Deshaun T/Hou",17,"Thompson-Robinson, Dorian 23/5",,,,,,,CLE
RB,24,"Chubb, Nick 18/2",34,"Ford, Jerome 22/5",20,"Strong Jr., Pierre T/NE",,,,,CLE
LWR,18,"Johnson, Diontae 19/3",13,"Boykin, Miles W/Bal",,,,,,,PIT
RWR,14,"Pickens, George 22/2",19,"Austin III, Calvin 22/4",,,,,,,PIT
SWR,11,"ROBINSON II, ALLEN T/LAR",89,"Olszewski, Gunner U/NE",,,,,,,PIT
LT,65,"Moore Jr., Dan 21/4",77,"Jones, Broderick 23/1",,,,,,,PIT
LG,73,"Seumalo, Isaac U/Phi",74,"Anderson, Spencer 23/7",,,,,,,PIT
C,61,"Cole, Mason U/Min",,,,,,,,,PIT
RG,78,"Daniels, James U/Chi",71,"Herbig, Nate U/NYJ",,,,,,,PIT
RT,76,"Okorafor, Chukwuma 18/3",60,"Cook, Dylan SF23",,,,,,,PIT
TE,88,"Freiermuth, Pat 21/2",80,"Washington, Darnell 23/3",,,,,,,PIT
QB,8,"Pickett, Kenny 22/1",10,"Trubisky, Mitch U/Buf",2,"Rudolph, Mason 18/3",,,,,PIT
RB,22,"Harris, Najee 21/1",30,"Warren, Jaylen CF22",26,"McFarland Jr., Anthony 20/4",,,,,PIT
FB,83,"Heyward, Connor 22/6",,,,,,,,,PIT
LWR,2,"Moore, DJ T/Chi",12,"Jones Jr., Velus 22/3",,,,,,,CHI
RWR,10,"Claypool, Chase T/Pit",13,"Scott, Tyler 23/4",,,,,,,CHI
SWR,11,"Mooney, Darnell 20/5",19,"St. Brown, Equanimeous U/GB",15,"Taylor, Trent SF23",,,,,CHI
LT,70,"Jones, Braxton 22/5",75,"Borom, Larry 21/5",,,,,,,CHI
LG,65,"WHITEHAIR, CODY 16/2",67,"Feeney, Dan T/Mia",,,,,,,CHI
C,62,"PATRICK, LUCAS U/GB",,,,,,,,,CHI
RG,64,"Davis, Nate U/Ten",69,"Carter, Ja'Tyre 22/7",,,,,,,CHI
RT,58,"Wright, Darnell 23/1",,,,,,,,,CHI
TE,85,"Kmet, Cole 20/2",18,"Tonyan, Robert U/GB",84,"LEWIS, MARCEDES U/GB",,,,,CHI
QB,1,"Fields, Justin 21/1",17,"Bagent, Tyson CF23",14,"Peterman, Nathan SF22",,,,,CHI
RB,24,"Herbert, Khalil 21/6",21,"Foreman, D'Onta U/Car",30,"Johnson, Roschon 23/4",20,"Homer, Travis U/Sea",,,CHI
FB,35,"Blasingame, Khari U/Ten",,,,,,,,,CHI
LWR,8,"Reynolds, Josh W/Ten",80,"Green, Antoine 23/7",,,,,,,DET
RWR,00,"JONES JR., MARVIN U/Jax",,,,,,,,,DET
SWR,14,"St. Brown, Amon-Ra 21/4",11,"Raymond, Kalif U/Ten",,,,,,,DET
LT,68,"Decker, Taylor 16/1",67,"Nelson, Matt CF19",,,,,,,DET
LG,73,"Jackson, Jonah 20/3",75,"Sorsdal, Colby 23/5",,,,,,,DET
C,77,"Ragnow, Frank 18/1",,,,,,,,,DET
RG,60,"GLASGOW, GRAHAM 16/3",72,"VAITAI, HALAPOULIVAATI U/Phi",,,,,,,DET
RT,58,"Sewell, Penei 21/1",,,,,,,,,DET
TE,87,"LaPorta, Sam 23/2",89,"Wright, Brock CF21",82,"Mitchell, James 22/5",,,,,DET
QB,16,"Goff, Jared T/LAR",17,"BRIDGEWATER, TEDDY U/Mia",,,,,,,DET
RB,5,"Montgomery, David U/Chi",26,"Gibbs, Jahmyr 23/1",13,"Reynolds, Craig SF21",,,,,DET
FB,45,"Cabinda, Jason SF19",,,,,,,,,DET
LWR,9,"Watson, Christian 22/2",18,"Heath, Malik CF23",,,,,,,GB
RWR,87,"Doubs, Romeo 22/4",13,"Wicks, Dontayvion 23/5",,,,,,,GB
SWR,11,"Reed, Jayden 23/2",83,"Toure, Samori 22/7",,,,,,,GB
LT,69,"BAKHTIARI, DAVID 13/4",63,"Walker, Rasheed 22/7",72,"Jones, Caleb CF22",,,,,GB
LG,74,"Jenkins, Elgton 19/2",70,"Newman, Royce 21/4",,,,,,,GB
C,71,"Myers, Josh 21/2",,,,,,,,,GB
RG,76,"Runyan, Jon 20/6",75,"Rhyan, Sean 22/3",,,,,,,GB
RT,50,"Tom, Zach 22/4",73,"Nijman, Yosh CF19",,,,,,,GB
TE,88,"Musgrave, Luke 23/2",85,"Kraft, Tucker 23/3",81,"Deguara, Josiah 20/3",89,"Sims, Ben W/Min",,,GB
QB,10,"Love, Jordan 20/1",8,"Clifford, Sean 23/5",,,,,,,GB
RB,33,"Jones, Aaron 17/5",28,"Dillon, AJ 20/2",31,"Wilson, Emanuel SF23",,,,,GB
LWR,18,"Jefferson, Justin 20/1",,,,,,,,,MIN
RWR,3,"Addison, Jordan 23/1",83,"Nailor, Jalen 22/6",,,,,,,MIN
SWR,17,"Osborn, K.J. 20/5",19,"Powell, Brandon U/LAR",,,,,,,MIN
LT,71,"Darrisaw, Christian 21/1",76,"QUESSENBERRY, DAVID SF23",,,,,,,MIN
LG,72,"Cleveland, Ezra 20/2",,,,,,,,,MIN
C,56,"Bradbury, Garrett 19/1",65,"Schlottmann, Austin U/Den",,,,,,,MIN
RG,67,"Ingram, Ed 22/2",64,"Brandel, Blake 20/6",,,,,,,MIN
RT,75,"O'Neill, Brian 18/2",74,"Udoh, Olisaemeka 19/6",,,,,,,MIN
TE,87,"Hockenson, T.J. T/Det",84,"Oliver, Josh U/Bal",86,"Mundt, Johnny U/LAR",34,"Muse, Nick 22/7",,,MIN
QB,8,"COUSINS, KIRK U/Was",12,"Mullens, Nick T/LV",16,"Hall, Jaren 23/5",,,,,MIN
RB,2,"Mattison, Alexander 19/3",32,"Chandler, Ty 22/5",37,"Gaskin, Myles SF23",,,,,MIN
FB,30,"HAM, C.J. CF16",,,,,,,,,MIN
LWR,12,"Collins, Nico 21/3",19,"Hutchinson, Xavier 23/6",,,,,,,HOU
RWR,2,"WOODS, ROBERT CC/Ten",13,"Dell, Tank 23/3",,,,,,,HOU
SWR,85,"Brown, Noah U/Dal",8,"Metchie III, John 22/2",,,,,,,HOU
LT,78,"Tunsil, Laremy T/Mia",72,"Jones, Josh T/Arz",,,,,,,HOU
LG,50,"Green, Kendrick T/Pit",,"Broeker, Nick W/Buf",,,,,,,HOU
C,68,"Patterson, Jarrett 23/6",,,,,,,,,HOU
RG,69,"MASON, SHAQ T/TB",,,,,,,,,HOU
RT,71,"Howard, Tytus 19/1",77,"FANT, GEORGE U/NYJ",,,,,,,HOU
TE,83,"Schultz, Dalton U/Dal",84,"Quitoriano, Teagan 22/5",9,"Jordan, Brevin 21/5",,,,,HOU
QB,7,"Stroud, C.J. 23/1",10,"Mills, Davis 21/3",18,"KEENUM, CASE U/Buf",,,,,HOU
RB,31,"Pierce, Dameon 22/4",26,"Singletary, Devin U/Buf",22,"Boone, Mike U/Den",33,"Ogunbowale, Dare CF17",,,HOU
FB,47,"Beck, Andrew U/Den",,,,,,,,,HOU
LWR,11,"Pittman Jr., Michael 20/2",,,,,,,,,IND
RWR,14,"Pierce, Alec 22/2",,,,,,,,,IND
SWR,6,"McKenzie, Isaiah CC/Buf",1,"Downs, Josh 23/3",,,,,,,IND
LT,79,"Raimann, Bernhard 22/3",71,"Hayes, Ryan W/Mia",,,,,,,IND
LG,56,"Nelson, Quenton 18/1",65,"Sills, Josh W/Phi",,,,,,,IND
C,78,"KELLY, RYAN 16/1",62,"French, Wesley CF22",,,,,,,IND
RG,75,"Fries, Will 21/7",,,,,,,,,IND
RT,72,"Smith, Braden 18/2",73,"Freeland, Blake 23/4",,,,,,,IND
TE,81,"Alie-Cox, Mo SF17",83,"Granson, Kylen 21/4",86,"Mallory, Will 23/5",85,"Ogletree, Drew 22/6",,,IND
QB,5,"Richardson, Anthony 23/1",10,"Minshew, Gardner U/Phi",4,"Ehlinger, Sam 21/6",,,,,IND
RB,21,"Moss, Zack T/Buf",35,"Jackson, Deon CF21",26,"Hull, Evan 23/5",,,,,IND
LWR,00,"Ridley, Calvin T/Atl",84,"Cooks, Elijah CF23",,,,,,,JAX
RWR,7,"Jones, Zay U/LV",15,"Jones, Tim CF21",,,,,,,JAX
SWR,13,"Kirk, Christian U/Arz",39,"Agnew, Jamal U/Det",11,"Washington, Parker 23/6",,,,,JAX
LT,72,"Little, Walker 21/2",,,,,,,,,JAX
LG,78,"Bartch, Ben 20/4",,,,,,,,,JAX
C,79,"Fortner, Luke 22/3",69,"SHATLEY, TYLER CF14",,,,,,,JAX
RG,68,"SCHERFF, BRANDON U/Was",73,"Hance, Blake W/SF",,,,,,,JAX
RT,77,"Harrison, Anton 23/1",70,"Van Lanen, Cole T/GB",,,,,,,JAX
TE,17,"Engram, Evan U/NYG",89,"Farrell, Luke 21/5",85,"Strange, Brenton 23/2",,,,,JAX
QB,16,"Lawrence, Trevor 21/1",3,"Beathard, C.J. U/SF",,,,,,,JAX
RB,1,"Etienne Jr., Travis 21/1",4,"Bigsby, Tank 23/3",22,"Hasty, JaMycal W/SF",25,"Johnson, D'Ernest U/Cle",,,JAX
LWR,10,"HOPKINS, DEANDRE CC/Arz",14,"Dowell, Colton 23/7",,,,,,,TEN
RWR,16,"Burks, Treylon 22/1",11,"MOORE, CHRIS U/Hou",,,,,,,TEN
SWR,15,"Westbrook-Ikhine, Nick CF20",5,"Jackson, Kearis CF23",,,,,,,TEN
LT,71,"Dillard, Andre U/Phi",79,"Duncan, Jaelyn 23/6",,,,,,,TEN
LG,77,"Skoronski, Peter 23/1",,,,,,,,,TEN
C,55,"Brewer, Aaron CF20",62,"Levin, Corey 17/6",,,,,,,TEN
RG,75,"Radunz, Dillon 21/2",67,"Newman, Xavier CF22",,,,,,,TEN
RT,60,"Brunskill, Daniel U/SF",66,"HUBBARD, CHRIS U/Cle",,,,,,,TEN
TE,85,"Okonkwo, Chigoziem 22/4",88,"Wesco, Trevon U/Chi",81,"Whyle, Josh 23/5",,,,,TEN
QB,17,"TANNEHILL, RYAN T/Mia",7,"Willis, Malik 22/3",8,"Levis, Will 23/2",,,,,TEN
RB,22,"Henry, Derrick 16/2",32,"Spears, Tyjae 23/3",36,"Chestnut, Julius CF22",,,,,TEN
LWR,5,"London, Drake 22/1",80,"Ali, Josh CF22",,,,,,,ATL
RWR,18,"Hollins, Mack U/LV",,,,,,,,,ATL
SWR,12,"Hodge, KhaDarel U/Det",16,"Miller, Scotty U/TB",,,,,,,ATL
LT,70,"MATTHEWS, JAKE 14/1",75,"Prince, Isaiah SF23",,,,,,,ATL
LG,65,"Bergeron, Matthew 23/2",64,"Neuzil, Ryan CF21",,,,,,,ATL
C,67,"Dalman, Drew 21/4",56,"Gwyn, Jovaughn 23/7",,,,,,,ATL
RG,63,"Lindstrom, Chris 19/1",68,"Hinton, Kyle SF23",,,,,,,ATL
RT,76,"McGary, Kaleb 19/1",,,,,,,,,ATL
TE,8,"Pitts, Kyle 21/1",81,"Smith, Jonnu T/NE",85,"PRUITT, MYCOLE U/Ten",87,"FitzPatrick, John 22/6",,,ATL
QB,9,"Ridder, Desmond 22/3",4,"HEINICKE, TAYLOR U/Was",11,"Woodside, Logan P/Ten",,,,,ATL
RB,7,"Robinson, Bijan 23/1",25,"Allgeier, Tyler 22/5",84,"PATTERSON, CORDARRELLE U/Chi",,,,,ATL
FB,40,"SMITH, KEITH SF19",,,,,,,,,ATL
LWR,17,"Chark Jr., DJ U/Det",88,"Marshall Jr., Terrace 21/2",,,,,,,CAR
RWR,15,"Mingo, Jonathan 23/2",5,"Shenault Jr., Laviska T/Jax",,,,,,,CAR
SWR,19,"THIELEN, ADAM CC/Min",11,"Smith-Marsette, Ihmir T/KC",,,,,,,CAR
LT,79,"Ekwonu, Ikem 22/1",61,"Lee, Ricky CF23",,,,,,,CAR
LG,70,"Christensen, Brady 21/3",,"Throckmorton, Calvin W/NO",,,,,,,CAR
C,56,"Bozeman, Bradley U/Bal",66,"Mays, Cade 22/6",,,,,,,CAR
RG,62,"Zavala, Chandler 23/4",67,"Jensen, Nash CF23",,,,,,,CAR
RT,72,"Moton, Taylor 17/2",,,,,,,,,CAR
TE,81,"HURST, HAYDEN U/Cin",80,"Thomas, Ian 18/4",82,"Tremble, Tommy 21/3",45,"Ricci, Giovanni CF20",,,CAR
QB,9,"Young, Bryce 23/1",14,"DALTON, ANDY U/NO",,,,,,,CAR
RB,6,"Sanders, Miles U/Phi",30,"Hubbard, Chuba 21/4",3,"Blackshear, Raheem P/Buf",,,,,CAR
LWR,13,"THOMAS, MICHAEL 16/2",18,"Kirkwood, Keith CF18",,,,,,,NO
RWR,12,"Olave, Chris 22/1",17,"Perry, A.T. 23/6",,,,,,,NO
SWR,22,"Shaheed, Rashid CF22",10,"Smith, Tre'Quan 18/3",,,,,,,NO
LT,70,"Penning, Trevor 22/1",67,"Young, Landon 21/6",,,,,,,NO
LG,75,"Peat, Andrus 15/1",74,"HURST, JAMES CC/Bal",,,,,,,NO
C,78,"McCoy, Erik 19/2",73,"GARCIA, MAX U/Arz",,,,,,,NO
RG,51,"Ruiz, Cesar 20/1",64,"Saldiveri, Nick 23/4",,,,,,,NO
RT,71,"Ramczyk, Ryan 17/1",,,,,,,,,NO
TE,83,"Johnson, Juwan CF20",82,"Moreau, Foster U/LV",7,"HILL, TAYSOM W/GB",80,"GRAHAM, JIMMY 10/3",,,NO
QB,4,"CARR, DEREK CC/LV",2,"Winston, Jameis U/TB",14,"Haener, Jake 23/4",,,,,NO
RB,30,"Williams, Jamaal U/Det",25,"Miller, Kendre 23/3",33,"Merritt, Kirk SF22",,,,,NO
FB,46,"Prentice, Adam W/Den",,,,,,,,,NO
LWR,13,"EVANS, MIKE 14/1",,,,,,,,,TB
RWR,10,"Palmer, Trey 23/6",18,"Jarrett, Rakim CF23",,,,,,,TB
SWR,14,"Godwin, Chris 17/3",83,"Thompkins, Deven CF22",,,,,,,TB
LT,78,"Wirfs, Tristan 20/1",77,"Skule, Justin SF22",,,,,,,TB
LG,71,"FEILER, MATT CC/LAC",64,"Stinnie, Aaron W/Ten",,,,,,,TB
C,70,"Hainsey, Robert 21/3",60,"Leverett, Nick CF20",,,,,,,TB
RG,69,"Mauch, Cody 23/2",,,,,,,,,TB
RT,67,"Goedeke, Luke 22/2",73,"Walton, Brandon W/Pit",,,,,,,TB
TE,88,"Otton, Cade 22/4",41,"Kieft, Ko 22/6",89,"Wells, David SF22",87,"Durham, Payne 23/5",,,TB
QB,6,"Mayfield, Baker U/LAR",2,"Trask, Kyle 21/2",,,,,,,TB
RB,1,"White, Rachaad 22/3",22,"Edmonds, Chase CC/Den",21,"Vaughn, Ke'Shawn 20/3",44,"Tucker, Sean CF23",,,TB
LWR,14,"Sutton, Courtland 18/2",89,"Johnson, Brandon CF22",,,,,,,DEN
RWR,83,"Mims Jr., Marvin 23/2",,,,,,,,,DEN
SWR,10,"Jeudy, Jerry 20/1",,,,,,,,,DEN
LT,72,"BOLLES, GARETT 17/1",73,"FLEMING, CAM U/NYG",,,,,,,DEN
LG,74,"Powers, Ben U/Bal",60,"Wattenberg, Luke 22/5",,,,,,,DEN
C,79,"Cushenberry III, Lloyd 20/3",76,"Forsyth, Alex 23/7",,,,,,,DEN
RG,77,"Meinerz, Quinn 21/3",75,"Bailey, Quinn CF19",,,,,,,DEN
RT,69,"McGlinchey, Mike U/SF",,,,,,,,,DEN
